USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVUBSC23171,Male,18.0,86.3,Urban,IDA_A,Fulfills general curriculum/education requirement,"Lectures, including online lectures;Class discussions, including online discussion boards",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),As per the instruction in Bracket.,Yes,Yes,Yes,Yes,NO,NO,NO,NO,,,,,Excellent (> 90%),"I dont know to express i , but Excellent",No
1RVU23BSC028,Female,19.0,76,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Student presentations",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),  ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),"It was an excellent course,I had missed a lot of classes yet I was able to catch up and learn the concepts with the teachers help,they were very helpful and it was good learning experience ",Yes
1RVU23BSC050,Female,18.0,85.50%,Urban,IDA_C,Interest in the subject,"Lectures, including online lectures;Projects or portfolios;Teamwork or group activities",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I would blame myself for not putting extra effort from my side.,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),My overall experience in the course is good ,No
172,Male,18.0,80%,Urban,IDA_C,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings;Teamwork or group activities;Student presentations",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I will be held responsible for my performance ,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),Excellent ,Yes
1RVU23BSC084,Male,18.0,73.3,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Writing work",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Neutral with my effort,Neutral with my effort,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,Circumstances,Circumstances,Circumstances,Circumstances,I was busy with other courses online,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),The course was overall good ,No
1RVU23BSC131,Female,18.0,89.2,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,3-4 hours,5-6 hours,3-4 hours,3-4 hours,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I have worked on my assignments and studied,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),I have enjoyed the course and learnt as much as I could ,Yes
1RVUBSC23077,Male,18.0,85%,Urban,IDA_C,Interest in the subject,"In-class learning activities, other than discussions",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Yourself,Yourself,Yourself,Yourself,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),-,Yes
1RVU23BSC043,Female,18.0,91,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",No,Less than one hour,Less than one hour,Less than one hour,Less than one hour,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),The teacher made the concepts understandable,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),"It was amazing. Veey interesting and fun to work on
",No
1RVU23BSC055,Female,18.0,79.36,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","In-class learning activities, other than discussions",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Reason is the course was understandable and easy to learn,NO,NO,NO,Yes,NO,NO,NO,NO,,,,,Excellent (> 90%),The course was easy and interesting. It taught the techniques to apply in data analysis which is helpful,No
1RVU23BSC101,Male,19.0,58 %,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,11-12 hours,11-12 hours,11-12 hours,11-12 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I blame myself ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),It was good course and learnt new things and it was just awesome.,Yes
1RVU23BSC120,Female,19.0,77.7,Rural,IDA_C,Interest in the subject,"In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Student presentations",Yes,Less than one hour,9-10 hours,1-2 hours,3-4 hours,Thinking creatively or critically,Solving problems,Thinking creatively or critically,Solving problems,Happy as I enjoyed doing the CO activities,Neutral with my effort,Happy as I put in the required effort,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it",5,3,5,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),thanks to teachers for excellent teaching and hard work that helped me understand and apply and understand the concepts really well,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),"revision notes, ppt, example question and answers which were prepared by teachers were very helpful for lastminute revision reports which were told to be written right after the class helped in a better understanding of the topic ,detailed syllabus for the exam was mentioned marks distribution was given which helped for better preparation of exam overall the whole syllabus was taught in a step by step process ,thank you teachers for all your efforts ",No
1RVU23BSC062,Male,20.0,70,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,3-4 hours,5-6 hours,3-4 hours,5-6 hours,"Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I put in the required effort,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it",4,4,4,4,NA(marks >2),Circumstances,Yourself,Circumstances,Good experience in learning the course.,Yes,Yes,NO,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),Practical way of learning the course,Yes
1RVU23BSC019,Female,19.0,89,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Nothing ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),Interesting ,Yes
1RVU23BSC042,Male,18.0,76,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;Teamwork or group activities;Student presentations",Yes,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,NO,NO,NO,,,,,Excellent (> 90%),The overall course was great! The faculty was helping and best !,Yes
1RVU23BSC044,Female,16.0,79%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Teaching was very clear and understandable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),Very informative and creative ,Yes
1RVU23BSC155,Female,17.0,79,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule;Advisor recommended the course,"Lectures, including online lectures;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,7-8 hours,9-10 hours,9-10 hours,9-10 hours,Thinking creatively or critically,Solving problems,Thinking creatively or critically,Thinking creatively or critically,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I blame myself because of less effort by me.,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Good (70 - 90%),Leant different plots and graphs in python about the dataset. Understanding the dataset and writing a report of the dataset,Yes
7,Female,18.0,69,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;Teamwork or group activities;Student presentations",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,"Making judgments about the value of information, arguments, or methods","Applying basic elements of an idea, experience, or theory","Applying basic elements of an idea, experience, or theory","Making judgments about the value of information, arguments, or methods",Neutral with my effort,Neutral about understanding the teacher,Neutral about understanding the teacher,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it",3,2,2,3,Yourself,Yourself,Yourself,Yourself,i would blame myself for not giving the best ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),"it was a very good experience.
",Yes
1RVU23BSC013,Male,18.0,55%,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Projects or portfolios;Student presentations;Writing work",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),My marks are not below 2.,NO,NO,NO,NO,Yes,Yes,Yes,Yes,,,,,Okay (40 - 70%),"I express my satisfaction with the course, acknowledging the effective and commendable efforts of the teachers. The instructional approach resonated well with me, contributing significantly to my positive learning experience. The overall quality of the course and the educators' dedication have left a favorable impression on me.",No
1RVU23BSC107,Female,18.0,85,Urban,IDA_A,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios;Teamwork or group activities",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.....,Yes,Yes,Yes,Yes,Yes,NO,NO,NO,,,,,Excellent (> 90%),......,Yes
1RVU23BSC048,Male,19.0,73,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,3-4 hours,5-6 hours,3-4 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Already explained in IDa1 section,NO,NO,NO,NO,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),Already explained in IDA1,No
1RVU23BSC066,Female,18.0,81%,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,1-2 hours,3-4 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Solving problems,Thinking creatively or critically,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",5,4,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),i put the required effort to understand all the concepts. With the help of teachers and peers i stand clear with the concepts ,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),"my interest in the subject grew as i was exposed to new topics and methods of data analysis. the teachers as usual were excellent at their end , they were available anytime and would clear any sort of doubts without hesitation , they made it very comfortable for us to approach them. ",No
1RVU23BSC128,Male,18.0,92,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,Less than one hour,Less than one hour,Less than one hour,Less than one hour,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I SHOULD HAVE PUT MORE EFFORT..!!,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%), i HAD GREAT TIME LEARNING THE INTRODUCTION TO DATA SCIENCE.IT HELPED ME TO LEARN A LOT ABOUT DATA SCIENCE AND ALSO I PARTICIPATED IN FEW COMPETITIONS ABOUT DATA INSIGHTS IN COLLEGE AND I LEARNT A LOT AND EVEN GAVE ME MORE STRENGTH AND FAITH TO PRESENT MY DATA ANALYSIS IN FRONT OF EVERYONE,Yes
1RVU23BSC072,Male,19.0,71,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Reputation or peer recommendation of the instructor (faculty),"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,More than 15 hours,More than 15 hours,More than 15 hours,More than 15 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2), ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Excellent (> 90%),"Great experience overall, happy with learning outcomes and excited to dive deeper into data analysis.",Yes
1RVU23BSC166,Female,19.0,91,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",No,7-8 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,"Making judgments about the value of information, arguments, or methods",Solving problems,"Making judgments about the value of information, arguments, or methods",Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,3,2,Yourself,Yourself,Yourself,Yourself,Because the teachers thought really well and if my score goes low it will be because of me  as I would not have put enough effort.,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),It was very good as the teachers were there to help whenever we needed. Also they thought really slow so that people from other backgrounds also can understand.,Yes
1RVU23BSC039,Male,19.0,47.5,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,3,3,3,3,Yourself,Yourself,Yourself,Yourself,good,Yes,Yes,Yes,Yes,NO,NO,NO,NO,,,,,Good (70 - 90%),exellent,Yes
1RVU23BSC,Male,19.0,62,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings",Yes,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),If I had'nt given my level best i would have no one else to blame but myself.,NO,NO,NO,NO,NO,NO,NO,NO,,,,,Excellent (> 90%),"The course was enjoyable and fun and easy to understand, I learnt a great many things and got an idea on how to think differently and apply different methods towards various problems. It was fun :).",Yes
1RVU23BSC074,Male,19.0,75,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,1-2 hours,3-4 hours,1-2 hours,3-4 hours,Solving problems,Applying theories or concepts to practical problems or in new situations,Solving problems,Applying theories or concepts to practical problems or in new situations,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),during the label encoding topic i was on sick leave,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),the course is good for me as it has both fun and learning methods where I can learn at ease,Yes
1RVU23BSC092,Male,19.0,70,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Happy as I enjoyed doing the CO activities,Neutral about the activities,Neutral about the activities,Neutral about the activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Circumstances,Yourself,Circumstances,Due to late submission ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Good (70 - 90%),I enjoyed learning this course but need still Deep explanation ,No
